,ticker,shareHolder,shareOwnPercent
0,ABC,Tập Đoàn Bưu Chính Viễn Thông Việt Nam (loại Hình Doanh Nghiệp: Công ty Tnhh),0.283
1,ABC,Vũ Hạnh Quyên,0.1496
2,ABC,Vũ Hoàng Việt,0.0392
3,ABC,Nguyễn Mạnh Hùng,0.0147
4,ABC,Nguyễn Hoàng Nam,0.0123
5,ABC,Trần Bình Dương,0.0021
6,ABC,Đặng Thị Hường,0.0019
7,ABC,Đỗ Ngọc Khuê,0.0004
8,ABC,Phạm Minh Tuấn,0.0002
9,ABC,Khác,0.0001
