,ticker,shareHolder,shareOwnPercent
0,PIA,Công ty TNHH MTV - Tổng Công ty Xây Lắp Và Thương Mại Petrolimex,0.5033
1,PIA,Hoàng Hải Đường,0.1005
2,PIA,Peter Eric Dennis,0.0517
3,PIA,PHAN THANH SƠN,0.0203
4,PIA,TRẦN NGỌC TUẤN,0.0175
5,PIA,Hoàng Minh Phương,0.0144
6,PIA,Đặng Thị Hồng Hà,0.0033
7,PIA,Phan Tùng Lâm,0.0012
8,PIA,Trần Quang Hùng,0.001
9,PIA,Khác,0.1035
