,ticker,shareHolder,shareOwnPercent
0,SHB,Công ty Cổ phần Tập đoàn T&T,0.1
1,SHB,Đỗ Vinh Quang,0.0296
2,SHB,Đỗ Quang Hiển,0.0275
3,SHB,Đỗ Thị Thu Hà,0.0206
4,SHB,Đỗ Thị Minh Nguyệt,0.0071
5,SHB,NGUYỄN VĂN LÊ,0.0023
6,SHB,Trần Ngọc Linh,0.002
7,SHB,Phan Huy Chí,0.0017
8,SHB,Ngô Thu Hà,0.0007
9,SHB,Khác,0.0541
