,ticker,shareHolder,shareOwnPercent
0,APG,Nguyễn Hồ Hưng,0.0702
1,APG,Mai Đức Chiến,0.0564
2,APG,Nguyễn Quốc Thịnh,0.0499
3,APG,Nguyễn Đức Hạnh,0.0486
4,APG,Nguyễn Văn Thưởng,0.0484
5,APG,Nguyễn Thanh Hà,0.0481
6,APG,Đinh Thị Hồng Liên,0.0471
7,APG,Lê Thị Mai Hòa,0.047
8,APG,Đào Thị Quỳnh,0.0442
9,APG,Khác,0.4306
