,ticker,shareHolder,shareOwnPercent
0,ABW,Tập Đoàn Geleximco - Công ty Cp,0.4636
1,ABW,Tạ Thị Hồng Hà,0.0039
2,ABW,Lê Việt Hà,0.0003
3,ABW,Khác,0.0001
