,ticker,shareHolder,shareOwnPercent
0,PLX,Ủy ban Quản lý vốn Nhà nước Tại Doanh nghiệp,0.7587
1,PLX,JX Nippon Oil & Energy Corporation,0.08
2,PLX,Khác,0.0004
