,ticker,shareHolder,shareOwnPercent
0,HDB,Công ty Cổ phần Tập đoàn Sovico,0.1448
1,HDB,PHẠM VĂN ĐẨU,0.0431
2,HDB,NGUYỄN THỊ PHƯƠNG THẢO,0.037
3,HDB,Lưu Văn Sơn,0.0301
4,HDB,Nguyễn Hữu Đặng,0.0276
5,HDB,Đào Duy Tường,0.0274
6,HDB,Phạm Khắc Dũng,0.0121
7,HDB,Nguyễn Hữu Thành,0.0116
8,HDB,Lưu Thị Việt Hồng,0.0034
9,HDB,Khác,0.0278
