,ticker,shareHolder,shareOwnPercent
0,VNM,Tổng Công ty Đầu Tư Và Kinh Doanh Vốn Nhà Nước - Công ty TNHH,0.36
1,VNM,F&N Dairy Investments Private Limited,0.1769
2,VNM,Platinum Victory Private Limited,0.1062
3,VNM,Mai Kiều Liên,0.0031
4,VNM,Nguyễn Thị Thanh Hòa,0.0005
5,VNM,Trần Minh Văn,0.0004
6,VNM,Mai Hoài Anh,0.0002
7,VNM,Lê Thành Liêm,0.0002
8,VNM,Nguyễn Thị Như Hằng,0.0002
9,VNM,Khác,0.1955
